event_id;simID;index;Zone Air CO2 Concentration;Zone Mean Air Temperature;Zone Air Relative Humidity;Occupancy;Ventilation;BinaryOccupancy;Datetime;maxOccupants;_volume;presence_shift;event_start;presence_analysis;start_time;end_time;start_co2;end_co2;measurement_decay_constant
0;54;110;501.11;18.0;33.73;0.0;0.0;0;11/04  01:51:00;1.0;63.07;0;0;Ignore;;;;;
0;54;111;501.08;18.0;33.76;0.0;0.0;0;11/04  01:52:00;1.0;63.07;0;0;Ignore;;;;;
0;54;112;501.05;18.0;33.79;0.0;0.0;0;11/04  01:53:00;1.0;63.07;0;0;Ignore;;;;;
0;54;113;501.02;18.0;33.81;0.0;0.0;0;11/04  01:54:00;1.0;63.07;0;0;Ignore;;;;;
0;54;114;500.99;18.0;33.84;0.0;0.0;0;11/04  01:55:00;1.0;63.07;0;0;Ignore;;;;;
0;54;115;500.96;18.0;33.87;0.0;0.0;0;11/04  01:56:00;1.0;63.07;0;0;Ignore;;;;;
0;54;116;500.94;18.0;33.9;0.0;0.0;0;11/04  01:57:00;1.0;63.07;0;0;Ignore;;;;;
0;54;117;500.91;18.0;33.92;0.0;0.0;0;11/04  01:58:00;1.0;63.07;0;0;Ignore;;;;;
0;54;118;500.88;18.0;33.95;0.0;0.0;0;11/04  01:59:00;1.0;63.07;0;0;Ignore;;;;;
0;54;119;500.85;18.0;33.97;0.0;0.0;0;11/04  02:00:00;1.0;63.07;0;0;Ignore;;;;;
0;54;120;500.82;18.0;34.0;0.0;0.0;0;11/04  02:01:00;1.0;63.07;0;0;Ignore;;;;;
0;54;121;500.8;18.0;34.03;0.0;0.0;0;11/04  02:02:00;1.0;63.07;0;0;Ignore;;;;;
0;54;122;500.77;18.0;34.05;0.0;0.0;0;11/04  02:03:00;1.0;63.07;0;0;Ignore;;;;;
0;54;123;500.74;18.0;34.08;0.0;0.0;0;11/04  02:04:00;1.0;63.07;0;0;Ignore;;;;;
