temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
22.6,41.97,0.25,65.0,1.548799999999784,[22.6    41.97    0.25   65.      1.5488],[-2.05466445 -0.72500359  0.          0.         -0.35498826],2
22.6,42.0,0.25,65.0,164.5297999999977,[ 22.6     42.       0.25    65.     164.5298],[-2.05466445 -0.71721558  0.          0.         -0.34660212],2
22.6,42.03,0.25,65.0,19.219999999999576,[22.6  42.03  0.25 65.   19.22],[-2.05466445 -0.70942757  0.          0.         -0.35407899],2
22.6,42.12,0.25,65.0,9.6800000000004,[22.6  42.12  0.25 65.    9.68],[-2.05466445 -0.68606355  0.          0.         -0.35456987],2
22.6,42.18,0.25,65.0,40.41004999999906,[22.6     42.18     0.25    65.      40.41005],[-2.05466445 -0.67048753  0.          0.         -0.35298866],2
22.6,48.92,0.25,65.0,2.1217999999998876,[22.6    48.92    0.25   65.      2.1218],[-2.05466445  1.07921841  0.          0.         -0.35495877],0
22.6,49.5,0.25,65.0,19525.77716666668,"[2.26000000e+01 4.95000000e+01 2.50000000e-01 6.50000000e+01
 1.95257772e+04]",[-2.05466445  1.22978658  0.          0.          0.64962518],0
22.6,49.51,0.25,65.0,16103.041733333353,"[2.26000000e+01 4.95100000e+01 2.50000000e-01 6.50000000e+01
 1.61030417e+04]",[-2.05466445  1.23238258  0.          0.          0.47350933],0
22.6,49.54,0.25,65.0,441.63919999999575,[2.260000e+01 4.954000e+01 2.500000e-01 6.500000e+01 4.416392e+02],[-2.05466445  1.24017059  0.          0.         -0.33234353],0
22.6,49.56,0.25,65.0,412.99380000000025,[2.260000e+01 4.956000e+01 2.500000e-01 6.500000e+01 4.129938e+02],[-2.05466445  1.2453626   0.          0.         -0.33381747],0
22.6,49.97,0.25,65.0,3.3540499999994937,[22.6     49.97     0.25    65.       3.35405],[-2.05466445  1.35179872  0.          0.         -0.35489537],0
22.62,41.76,0.25,65.0,52.42880000000126,[22.62   41.76    0.25   65.     52.4288],[-2.01123615 -0.77951965  0.          0.         -0.35237024],2
22.62,41.79,0.25,65.0,96.18845000000321,[22.62    41.79     0.25    65.      96.18845],[-2.01123615 -0.77173164  0.          0.         -0.3501186 ],2
22.62,41.86,0.25,65.0,49.28893333333309,[22.62       41.86        0.25       65.         49.28893333],[-2.01123615 -0.75355962  0.          0.         -0.3525318 ],2
22.62,42.08,0.25,65.0,1.729800000000237,[22.62   42.08    0.25   65.      1.7298],[-2.01123615 -0.69644756  0.          0.         -0.35497894],2
22.62,49.44,0.25,65.0,20253.27989999996,"[2.26200000e+01 4.94400000e+01 2.50000000e-01 6.50000000e+01
 2.02532799e+04]",[-2.01123615  1.21421056  0.          0.          0.68705862],0
22.62,49.45,0.25,65.0,625.8722000000018,[2.262000e+01 4.945000e+01 2.500000e-01 6.500000e+01 6.258722e+02],[-2.01123615  1.21680657  0.          0.         -0.32286388],0
22.62,49.48,0.25,65.0,7.02453333333351,[22.62       49.48        0.25       65.          7.02453333],[-2.01123615  1.22459458  0.          0.         -0.3547065 ],0
22.62,49.49,0.25,65.0,14938.142491666678,"[2.26200000e+01 4.94900000e+01 2.50000000e-01 6.50000000e+01
 1.49381425e+04]",[-2.01123615  1.22719058  0.          0.          0.41356978],0
22.62,49.5,0.25,65.0,25869.025800000007,"[2.26200000e+01 4.95000000e+01 2.50000000e-01 6.50000000e+01
 2.58690258e+04]",[-2.01123615  1.22978658  0.          0.          0.97601517],0
22.62,49.51,0.25,65.0,86.98804999999847,[22.62    49.51     0.25    65.      86.98805],[-2.01123615  1.23238258  0.          0.         -0.350592  ],0
22.62,49.52,0.25,65.0,415.8727999999993,[2.262000e+01 4.952000e+01 2.500000e-01 6.500000e+01 4.158728e+02],[-2.01123615  1.23497859  0.          0.         -0.33366934],0
22.62,49.57,0.25,65.0,78.35889999999897,[22.62   49.57    0.25   65.     78.3589],[-2.01123615  1.2479586   0.          0.         -0.35103601],0
22.62,49.58,0.25,65.0,19.507299999999766,[22.62   49.58    0.25   65.     19.5073],[-2.01123615  1.2505546   0.          0.         -0.35406421],0
22.62,49.61,0.25,65.0,238.29973333333538,[ 22.62        49.61         0.25        65.         238.29973333],[-2.01123615  1.25834261  0.          0.         -0.34280631],0
22.62,49.62,0.25,65.0,18.12019999999989,[22.62   49.62    0.25   65.     18.1202],[-2.01123615  1.26093862  0.          0.         -0.35413558],0
22.62,49.63,0.25,65.0,251.55245000000141,[2.2620000e+01 4.9630000e+01 2.5000000e-01 6.5000000e+01 2.5155245e+02],[-2.01123615  1.26353462  0.          0.         -0.34212439],0
22.62,49.65,0.25,65.0,3625.688933333331,"[2.26200000e+01 4.96500000e+01 2.50000000e-01 6.50000000e+01
 3.62568893e+03]",[-2.01123615  1.26872663  0.          0.         -0.16850919],0
