temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
21.0,26.85,0.0,63.07,1.2756699999999173,[21.      26.85     0.      63.07     1.27567],[-0.94529996 -0.98204854 -0.04311306 -0.48025223 -0.21140985],0
21.0,26.86,0.0,73.73,0.95219999999968,[21.     26.86    0.     73.73    0.9522],[-0.94529996 -0.98136301 -0.04311306  1.12547169 -0.29041357],0
21.0,26.87,0.0,70.51,5.816817948718191,[21.         26.87        0.         70.51        5.81681795],[-0.94529996 -0.98067748 -0.04311306  0.64044064  0.8977119 ],0
21.0,26.87,0.0,73.73,0.1624499999998989,[21.      26.87     0.      73.73     0.16245],[-0.94529996 -0.98067748 -0.04311306  1.12547169 -0.48330068],0
21.0,26.88,0.0,73.73,0.10125000000007162,[21.      26.88     0.      73.73     0.10125],[-0.94529996 -0.97999195 -0.04311306  1.12547169 -0.49824806],0
21.0,27.08,0.0,70.51,13.312800000000422,[21.     27.08    0.     70.51   13.3128],[-0.94529996 -0.96628138 -0.04311306  0.64044064  2.72851697],2
21.0,27.11,0.0,70.51,6.195199999999936,[21.     27.11    0.     70.51    6.1952],[-0.94529996 -0.96422479 -0.04311306  0.64044064  0.99012725],0
21.0,27.25,0.0,70.51,15.456800000000644,[21.     27.25    0.     70.51   15.4568],[-0.94529996 -0.95462739 -0.04311306  0.64044064  3.25216365],2
21.0,27.66,0.0,70.51,0.47045000000002646,[21.      27.66     0.      70.51     0.47045],[-0.94529996 -0.92652071 -0.04311306  0.64044064 -0.40807532],0
21.0,27.71,0.0,70.51,13.26124999999959,[21.      27.71     0.      70.51    13.26125],[-0.94529996 -0.92309307 -0.04311306  0.64044064  2.71592649],2
21.0,27.74,0.0,62.12,2.668050000000268,[21.      27.74     0.      62.12     2.66805],[-0.94529996 -0.92103648 -0.04311306 -0.62335145  0.12866252],0
21.0,27.75,0.0,70.51,4.285833333333548,[21.         27.75        0.         70.51        4.28583333],[-0.94529996 -0.92035095 -0.04311306  0.64044064  0.52378699],0
21.0,27.83,0.0,73.73,13.39263333333415,[21.         27.83        0.         73.73       13.39263333],[-0.94529996 -0.91486672 -0.04311306  1.12547169  2.74801532],2
21.0,27.86,0.0,70.51,0.8320499999999531,[21.      27.86     0.      70.51     0.83205],[-0.94529996 -0.91281014 -0.04311306  0.64044064 -0.31975879],0
21.0,27.9,0.0,70.51,0.20480000000002765,[21.     27.9     0.     70.51    0.2048],[-0.94529996 -0.91006802 -0.04311306  0.64044064 -0.4729572 ],0
21.0,27.99,0.0,73.73,14.612424999999407,[21.       27.99      0.       73.73     14.612425],[-0.94529996 -0.90389826 -0.04311306  1.12547169  3.04593503],2
21.0,28.01,0.0,73.73,0.387199999999996,[21.     28.01    0.     73.73    0.3872],[-0.94529996 -0.90252721 -0.04311306  1.12547169 -0.42840815],0
21.0,28.06,0.0,73.73,0.020000000000031833,[2.100e+01 2.806e+01 0.000e+00 7.373e+01 2.000e-02],[-0.94529996 -0.89909956 -0.04311306  1.12547169 -0.51809241],0
21.0,28.51,0.0,73.73,2.952450000000431,[21.      28.51     0.      73.73     2.95245],[-0.94529996 -0.86825077 -0.04311306  1.12547169  0.19812386],0
21.0,28.59,0.0,73.73,3.458450000000287,[21.      28.59     0.      73.73     3.45845],[-0.94529996 -0.86276654 -0.04311306  1.12547169  0.32170838],0
21.0,28.66,0.0,62.12,0.10182499999999257,[21.       28.66      0.       62.12      0.101825],[-0.94529996 -0.85796784 -0.04311306 -0.62335145 -0.49810762],0
21.0,28.67,0.0,62.12,0.15000000000002275,[21.   28.67  0.   62.12  0.15],[-0.94529996 -0.85728231 -0.04311306 -0.62335145 -0.48634145],0
21.0,28.92,0.0,62.12,9.246633333333598,[21.         28.92        0.         62.12        9.24663333],[-0.94529996 -0.84014409 -0.04311306 -0.62335145  1.73540379],2
21.0,28.95,0.0,62.12,2.53125,[21.      28.95     0.      62.12     2.53125],[-0.94529996 -0.8380875  -0.04311306 -0.62335145  0.09525074],0
21.0,28.99,0.0,62.12,11.534933333333166,[21.         28.99        0.         62.12       11.53493333],[-0.94529996 -0.83534539 -0.04311306 -0.62335145  2.29429404],2
21.0,29.4,0.0,62.12,0.23804999999999843,[21.      29.4      0.      62.12     0.23805],[-0.94529996 -0.80723871 -0.04311306 -0.62335145 -0.46483628],0
21.0,29.76,0.0,62.12,5.557899242424261,[21.         29.76        0.         62.12        5.55789924],[-0.94529996 -0.78255968 -0.04311306 -0.62335145  0.83447406],0
21.0,29.83,0.0,62.12,2.268449999999869,[21.      29.83     0.      62.12     2.26845],[-0.94529996 -0.77776098 -0.04311306 -0.62335145  0.03106494],0
21.0,29.87,0.0,62.12,0.7200000000000546,[21.   29.87  0.   62.12  0.72],[-0.94529996 -0.77501886 -0.04311306 -0.62335145 -0.34712568],0
21.0,29.9,0.0,62.12,0.07839999999999722,[21.     29.9     0.     62.12    0.0784],[-0.94529996 -0.77296227 -0.04311306 -0.62335145 -0.5038289 ],0
21.0,30.55,0.0,68.56,7.488450000000018,[21.      30.55     0.      68.56     7.48845],[-0.94529996 -0.72840291 -0.04311306  0.34671065  1.30598828],2
21.0,30.72,0.0,62.12,0.014123809523819955,"[2.10000000e+01 3.07200000e+01 0.00000000e+00 6.21200000e+01
 1.41238095e-02]",[-0.94529996 -0.71674892 -0.04311306 -0.62335145 -0.5195276 ],0
21.0,31.52,0.0,62.12,9.717233333333198,[21.         31.52        0.         62.12        9.71723333],[-0.94529996 -0.66190662 -0.04311306 -0.62335145  1.85034228],2
21.0,31.8,0.0,62.12,0.1624500000000609,[21.      31.8      0.      62.12     0.16245],[-0.94529996 -0.64271181 -0.04311306 -0.62335145 -0.48330068],0
21.0,31.84,0.0,62.12,0.19845000000003293,[21.      31.84     0.      62.12     0.19845],[-0.94529996 -0.6399697  -0.04311306 -0.62335145 -0.47450811],0
21.0,31.94,0.0,58.72,0.06844999999998065,[21.      31.94     0.      58.72     0.06845],[-0.94529996 -0.63311441 -0.04311306 -1.13549604 -0.50625907],0
21.0,31.95,0.0,58.72,0.06845000000002271,[21.      31.95     0.      58.72     0.06845],[-0.94529996 -0.63242888 -0.04311306 -1.13549604 -0.50625907],0
21.0,31.96,0.0,58.72,0.08820000000003056,[21.     31.96    0.     58.72    0.0882],[-0.94529996 -0.63174335 -0.04311306 -1.13549604 -0.50143537],0
21.0,31.97,0.0,58.72,0.1680999999999739,[21.     31.97    0.     58.72    0.1681],[-0.94529996 -0.63105782 -0.04311306 -1.13549604 -0.48192074],0
21.0,32.07,0.0,63.07,1.2640499999999601,[21.      32.07     0.      63.07     1.26405],[-0.94529996 -0.62420254 -0.04311306 -0.48025223 -0.2142479 ],0
