temperature,humidity,ventilation rate,volume,CO2_variance
21.0,33.23,0.0,62.12,1.3004333333333722
21.0,33.28,0.0,62.12,0.3698000000001095
21.0,33.3,0.0,62.12,3.4833583333332236
21.0,33.75,0.0,58.72,14.151200000000266
21.0,33.79,0.0,58.72,7.03125
21.0,33.83,0.0,58.72,2.464199999999556
21.0,34.11,0.0,62.12,0.018050000000010367
21.0,34.12,0.0,62.12,0.013333333333326133
21.0,34.18,0.0,62.12,1.9404500000000537
21.0,34.27,0.0,62.12,2.0808000000000417
21.0,34.46,0.0,63.07,1.2324499999999894
21.0,34.62,0.0,62.12,18.12019999999989
21.0,34.69,0.0,62.12,8.862050000000153
21.0,34.73,0.0,62.12,8.694450000000066
21.0,34.76,0.0,62.12,14.239033333333087
21.0,34.83,0.0,62.12,13.165833333333019
21.0,34.9,0.0,62.12,10.492500000000225
21.0,34.93,0.0,62.12,3.200449999999931
21.0,34.97,0.0,62.12,18.36179999999967
21.0,35.0,0.0,62.12,18.060049999999947
21.0,35.02,0.0,62.12,1.0512499999999836
21.0,35.08,0.0,62.12,0.31999999999996365
21.0,35.1,0.0,62.12,9.82869999999982
21.0,35.13,0.0,62.12,9.768133333333317
21.0,35.23,0.0,62.12,3.7264499999998946
21.0,35.26,0.0,62.12,7.920200000000072
21.0,35.31,0.0,62.12,0.832050000000173
21.0,35.38,0.0,62.12,16.60794095238101
21.0,35.69,0.0,63.07,2.4864500000000405
21.0,35.7,0.0,73.73,12.954050000000162
21.0,35.71,0.0,63.07,2.332800000000054
21.0,35.73,0.0,73.73,7.722449999999356
21.0,35.77,0.0,70.51,0.0025000000000011367
21.0,35.77,0.0,73.73,6.372450000000178
21.0,35.78,0.0,70.51,0.0012500000000019895
21.0,35.81,0.0,73.73,5.313800000000341
21.0,35.82,0.0,70.51,0.003033333333332458
21.0,35.84,0.0,70.51,0.003033333333331842
21.0,35.87,0.0,70.51,0.009930000000001604
21.0,35.88,0.0,73.73,1.729800000000237
21.0,35.92,0.0,62.12,0.5617999999999421
21.0,35.92,0.0,73.73,0.7564500000000224
21.0,35.95,0.0,62.12,0.5
21.0,35.96,0.0,62.12,0.47045000000013676
21.0,35.97,0.0,62.12,1.9536999999999842
21.0,35.98,0.0,62.12,0.41404999999997105
21.0,36.18,0.0,70.51,12.20180000000027
21.0,36.2,0.0,73.73,0.17999999999994543
21.0,37.6,0.0,70.51,0.03919999999999236
21.0,37.65,0.0,70.51,0.0001999999999996362
21.0,37.67,0.0,70.51,0.024200000000006
21.0,38.65,0.0,70.51,0.009799999999990133
21.0,38.69,0.0,70.51,6.697799999999676
21.0,38.8,0.0,70.51,1.278433333333344
21.0,38.86,0.0,70.51,0.6049999999999
21.0,38.93,0.0,70.51,0.6844500000000852
21.0,39.0,0.0,70.51,0.33620000000008765
21.0,40.86,0.0,70.51,0.020000000000009094
21.0,40.97,0.0,70.51,0.08820000000003056
21.0,40.98,0.0,70.51,0.09245000000002737
21.0,41.01,0.0,70.51,0.10125000000002046
21.0,41.03,0.0,70.51,0.10579999999993829
21.0,41.05,0.0,70.51,0.11520000000000873
21.0,41.08,0.0,70.51,0.13004999999999536
21.0,41.09,0.0,70.51,0.125
